EMP_ID,PASSWORD
INV00104,INV00104
INV00105,INV00105
INV00106,INV00106
INV00107,INV00107
INV00108,INV00108
INV00109,INV00109
INV00110,INV00110
INV00111,INV00111
INV00112,INV00112
INV00113,INV00113
INV00114,INV00114
INV00115,INV00115
INV00116,INV00116
INV00117,INV00117
INV00118,INV00118
INV00119,INV00119
INV00120,INV00120
INV00121,INV00121
INV00122,INV00122
INV00123,INV00123
INV00124,INV00124
INV00125,INV00125
INV00126,INV00126
INV00127,INV00127
INV00128,INV00128
INV00129,INV00129
INV00130,INV00130
INV00131,INV00131
INV00132,INV00132
INV00133,INV00133
INV00134,INV00134
INV00135,INV00135
INV00136,INV00136
INV00137,INV00137
INV00138,INV00138
INV00139,INV00139
INV00140,INV00140
INV00141,INV00141
INV00142,INV00142
INV00143,INV00143
INV00144,INV00144
INV00145,INV00145
INV00146,INV00146
INV00147,INV00147
INV00148,INV00148
INV00149,INV00149
INV00150,INV00150
INV00151,INV00151
INV00152,INV00152
INV00153,INV00153
INV00154,INV00154
INV00155,INV00155
INV00156,INV00156
INV00157,INV00157
INV00158,INV00158
INV00159,INV00159
INV00160,INV00160
INV00161,INV00161
INV00162,INV00162
INV00163,INV00163
INV00164,INV00164
INV00165,INV00165
INV00166,INV00166
INV00167,INV00167
INV00168,INV00168
INV00169,INV00169
INV00170,INV00170
INV00171,INV00171
INV00172,INV00172
INV00173,INV00173
INV00174,INV00174
INV00175,INV00175
INV00176,INV00176
INV00177,INV00177
INV00178,INV00178
INV00179,INV00179
INV00180,INV00180
INV00181,INV00181
INV00182,INV00182
INV00183,INV00183
INV00184,INV00184
INV00185,INV00185
INV00186,INV00186
INV00187,INV00187
INV00188,INV00188
INV00189,INV00189
INV00190,INV00190
INV00191,INV00191
INV00192,INV00192
